year,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMin,Temperature,T Max,T Min,Td dew point,WS,WD,WSGust,WDGust,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax60,Precp1DayMax,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,Cloud Amount
2021,4,1011.1,1014.6,1018.8,1001.5,22.4,30.9,15.9,17.8,2.4,100,18.4,70,60,36.7,4,5,20.5,39.5,77,108.8,133.1,470.78,8,12,7.1
2021,5,1006.3,1009.8,1014.3,999.7,28.2,38.2,19.8,23,1.7,300,14.6,80,119.5,29.7,6,8,17,50.5,74,120,141.3,531.82,9,12,7.7
2021,6,1002.7,1006.1,1009,995.8,29.3,37,21.8,23.8,2,260,17.3,280,316.5,55,10,23,71.5,156,74,126,152.4,525.95,8,12,7.9
2021,7,1001.2,1004.6,1010,987.8,30.3,37.8,24.9,24.4,2,170,17.5,300,288,54.9,13,17.5,45.5,87.5,72,143.9,217.2,628.22,9,12,6.9
2022,1,1016.4,1020,1023.6,1006.8,17.2,25.8,12,14,2.4,90,16.1,70,122,96,13,2.5,7,44.5,83,44.2,47.1,221,3,6,8.5
2022,2,1016.8,1020.4,1025.3,1008,16.4,27.8,10.3,13.9,2.2,90,14.9,340,252,194.3,21,3,8.5,38.5,86,36.9,31.1,191.53,3,8,9.1
2022,3,1011.3,1014.9,1020,1003,21.1,30,11.9,16.5,2.3,90,14.3,80,197.5,71.2,11,7,14,75,76,89.1,128.5,418.9,6,11,7
2022,4,1011.2,1014.8,1022.8,1001.4,22.5,34.1,13.2,17.6,2.1,90,14,80,108.5,62.2,7,13.5,41.5,57,75,91.4,100.9,414.31,8,13,8
2022,5,1007.4,1010.9,1014.9,1000.3,23.4,33.6,15.1,20.8,2,90,13.5,70,486,157.5,20,9,32,123.5,86,60.1,48.2,326.94,7,12,9.2
2022,6,1003.9,1007.4,1009.2,996.9,28.1,35.8,20.2,23.5,1.7,160,24.2,180,234.5,77.3,15,18,42.5,49.5,77,111.1,136.1,497.32,10,14,8
2022,7,1003.3,1006.7,1009.3,998,30.8,38.3,25.2,24.4,1.7,160,13.4,280,122,20.7,10,13,39,46,70,159.6,241.2,667.74,11,14,5.9
2023,1,1017.7,1021.4,1027.6,1003.7,17,28.2,8.5,12.8,2.4,90,13.3,80,28,63.9,10,3,6.5,7,77,53.8,88,271.16,4,7,7.7
2023,2,1017.1,1020.8,1030.6,1008.5,17.5,28.1,11.8,13.3,2.3,90,13.5,90,37.5,71,7,2,6,16,78,52.6,68.2,268.93,5,9,8.2
2023,3,1014.4,1018,1025.5,1001,20,32.6,12.6,14.3,2.1,90,18.5,330,23.5,34.7,7,3,9,14,72,91.4,151,443.64,6,9,7
2023,4,1009.6,1013.2,1021,999.4,22.6,33.1,16.5,17.8,2.1,90,15.8,90,109.5,57.5,9,5,11.5,26,75,84.7,111.9,392.95,6,10,7.4
2023,5,1007,1010.5,1013.8,996.2,25.8,35,18.6,21,2.2,90,16.1,290,182.5,53.5,13,12.5,39,74,76,102.7,136.4,506.46,7,12,7.7
2023,6,1004.1,1007.5,1009.5,995.3,28.8,36.2,22.9,24.5,1.7,160,12.2,270,482,41.8,13,19,71,127,79,97.3,136.3,494.27,8,12,7.9
2023,7,1003.7,1007.1,1009.6,991.8,30.4,37.9,24.8,24.7,2.1,160,18,100,119,24.5,13,11.5,21.5,21.5,73,148.3,212.3,599.97,9,13,6.7
